front,back
"to go, je ____",je vais
"to go, tu ____",tu vas
"to go, il/elle/on ____",il/elle/on va
"to go, nous ____",nous allons
"to go, vous ____",vous allez
"to go, ils/elles ____",ils/elles vont
"to go, infinitive ____",aller
"to have, je ____",j'ai
"to have, tu ____",tu as
"to have, il/elle/on ____",il/elle/on a
"to have, nous ____",nous avons
"to have, vous ____",vous avez
"to have, ils/elles ____",ils/elles ont
"to have, infinitive ____",avoir
"to drink, je ____",je bois
"to drink, tu ____",tu bois
"to drink, il/elle/on ____",il/elle/on boit
"to drink, nous ____",nous buvons
"to drink, vous ____",vous buvez
"to drink, ils/elles ____",ils/elles boivent
"to drink, infinitive ____",boire
"to drive, je ____",je conduis
"to drive, tu ____",tu conduis
"to drive, il/elle/on ____",il/elle/on conduit
"to drive, nous ____",nous conduisons
"to drive, vous ____",vous conduisez
"to drive, ils/elles ____",ils/elles conduisent
"to drive, infinitive ____",conduire
"to know of (a person/a place), je ____",je connais
"to know of (a person/a place), tu ____",tu connais
"to know of (a person/a place), il/elle/on ____",il/elle/on connaît
"to know of (a person/a place), nous ____",nous connaissons
"to know of (a person/a place), vous ____",vous connaissez
"to know of (a person/a place), ils/elles ____",ils/elles connaissent
"to know of (a person/a place), infinitive ____",connaître
"to run, je ____",je cours
"to run, tu ____",tu cours
"to run, il/elle/on ____",il/elle/on court
"to run, nous ____",nous courons
"to run, vous ____",vous courez
"to run, ils/elles ____",ils/elles courent
"to run, infinitive ____",courir
"to believe, je ____",je crois
"to believe, tu ____",tu crois
"to believe, il/elle/on ____",il/elle/on croit
"to believe, nous ____",nous croyons
"to believe, vous ____",vous croyez
"to believe, ils/elles ____",ils/elles croient
"to believe, infinitive ____",croire
"to have to / must, je ____",je dois
"to have to / must, tu ____",tu dois
"to have to / must, il/elle/on ____",il/elle/on doit
"to have to / must, nous ____",nous devons
"to have to / must, vous ____",vous devez
"to have to / must, ils/elles ____",ils/elles doivent
"to have to / must, infinitive ____",devoir
"to say / to tell, je ____",je dis
"to say / to tell, tu ____",tu dis
"to say / to tell, il/elle/on ____",il/elle/on dit
"to say / to tell, nous ____",nous disons
"to say / to tell, vous ____",vous dites
"to say / to tell, ils/elles ____",ils/elles disent
"to say / to tell, infinitive ____",dire
"to sleep, je ____",je dors
"to sleep, tu ____",tu dors
"to sleep, il/elle/on ____",il/elle/on dort
"to sleep, nous ____",nous dormons
"to sleep, vous ____",vous dormez
"to sleep, ils/elles ____",ils/elles dorment
"to sleep, infinitive ____",dormir
"to write, je ____",j'écris
"to write, tu ____",tu écris
